stem,seed,method,n_items,n_final_correct,n_ever_correct,n_stable_correct,frac_final_correct,mean_flip_step,median_flip_step
set2_stage3_r16_retrieval_8k,seed_0,retrieval_practice,10000,3907,3907,3907,0.3907,-1.0,-1
set2_stage3_r16_retrieval_random_seed1,seed_1,retrieval_practice,10000,1624,1624,1624,0.1624,-1.0,-1
set2_stage3_r16_retrieval_seed1_held,seed_1,retrieval_practice,10000,1886,1886,1886,0.1886,-1.0,-1
set2_stage3_r16_standard_8k,seed_0,standard_ft,10000,2785,2785,2785,0.2785,-1.0,-1
set2_stage3_r16_standard_mastered_seed1,seed_1,standard_ft_mastered,10000,1369,1369,1369,0.1369,-1.0,-1
set2_stage3_r16_standard_seed0_det,seed_0,standard_ft,10000,1536,1536,1536,0.1536,-1.0,-1
set2_stage3_r16_standard_seed1_held,seed_1,standard_ft,10000,1263,1263,1263,0.1263,-1.0,-1
set2_stage3_r32_retrieval,seed_0,retrieval_practice,10000,2278,2278,2278,0.2278,-1.0,-1
set2_stage3_r32_standard,seed_0,standard_ft,10000,1891,1891,1891,0.1891,-1.0,-1
set2_stage3_r8_retrieval_random,seed_0,retrieval_practice,10000,1442,1442,1442,0.1442,-1.0,-1
set2_stage3_r8_retrieval_seed1_held,seed_1,retrieval_practice,10000,1428,1428,1428,0.1428,-1.0,-1
set2_stage3_r8_retrieval_seed2,seed_2,retrieval_practice,10000,1352,1352,1352,0.1352,-1.0,-1
set2_stage3_r8_standard_mastered,seed_0,standard_ft_mastered,10000,1122,1122,1122,0.1122,-1.0,-1
set2_stage3_r8_standard_random,seed_0,standard_ft,10000,1201,1201,1201,0.1201,-1.0,-1
set2_stage3_r8_standard_seed1_held,seed_1,standard_ft,10000,1200,1200,1200,0.12,-1.0,-1
set2_stage3_r8_standard_seed2,seed_2,standard_ft,10000,1191,1191,1191,0.1191,-1.0,-1
set1_quartile_1_easy_retrievalpractice,seed_0,retrieval_practice,12500,4982,4982,4982,0.3986,-1.0,-1
set1_quartile_1_easy_standardft,seed_0,standard_ft,12500,3799,3799,3799,0.3039,-1.0,-1
set1_quartile_2_retrievalpractice,seed_0,retrieval_practice,12500,2907,2907,2907,0.2326,-1.0,-1
set1_quartile_2_standardft,seed_0,standard_ft,12500,2295,2295,2295,0.1836,-1.0,-1
set1_quartile_3_retrievalpractice,seed_0,retrieval_practice,12500,1457,1457,1457,0.1166,-1.0,-1
set1_quartile_3_standardft,seed_0,standard_ft,12500,1083,1083,1083,0.0866,-1.0,-1
set1_quartile_4_hard_retrievalpractice,seed_0,retrieval_practice,12500,733,733,733,0.0586,-1.0,-1
set1_quartile_4_hard_standardft,seed_0,standard_ft,12500,472,472,472,0.0378,-1.0,-1
