stem,model_name,lora_r,lora_alpha,seed,method,steps,n_layers_modules,fro_total,fro_mean,fro_max,max_layer,max_module,eff_rank_mean,eff_rank_max
set2_stage3_r16_retrieval_8k,Qwen/Qwen2.5-0.5B-Instruct,16,32,0,retrieval_practice,8000,48,31.211926733049406,3.875342863301436,10.571905136108398,0,q_proj,11.072051962216696,14.136496543884277
set2_stage3_r16_retrieval_random_seed1,Qwen/Qwen2.5-0.5B-Instruct,16,32,1,retrieval_practice,4000,48,21.8930549982371,2.726499054580927,6.71038818359375,0,q_proj,7.8080292493104935,12.429230690002441
set2_stage3_r16_retrieval_seed1_held,Qwen/Qwen2.5-0.5B-Instruct,16,32,1,retrieval_practice,4000,48,19.598751875637735,2.5034492251773677,5.276364803314209,0,q_proj,9.167368849118551,12.99333667755127
set2_stage3_r16_standard_8k,Qwen/Qwen2.5-0.5B-Instruct,16,32,0,standard_ft,8000,48,31.931616755030817,3.97109721104304,10.00567626953125,0,q_proj,10.980800638596216,14.315735816955566
set2_stage3_r16_standard_mastered_seed1,Qwen/Qwen2.5-0.5B-Instruct,16,32,1,standard_ft_mastered,4000,48,20.891320798891556,2.6335531597336135,6.773003101348877,0,q_proj,8.731025978922844,13.07584285736084
set2_stage3_r16_standard_seed0_det,Qwen/Qwen2.5-0.5B-Instruct,16,32,0,standard_ft,4000,48,20.11896408134754,2.5556212067604065,5.9740190505981445,0,q_proj,9.305088897546133,13.456372261047363
set2_stage3_r16_standard_seed1_held,Qwen/Qwen2.5-0.5B-Instruct,16,32,1,standard_ft,4000,48,20.24313309123696,2.5536585226655006,6.3693389892578125,0,q_proj,9.410482575496038,13.48877239227295
set2_stage3_r32_retrieval,Qwen/Qwen2.5-0.5B-Instruct,32,64,0,retrieval_practice,4000,48,25.529965409002614,3.2181075612703958,8.264495849609375,0,q_proj,15.015500009059906,23.370040893554688
set2_stage3_r32_standard,Qwen/Qwen2.5-0.5B-Instruct,32,64,0,standard_ft,4000,48,25.90784068864049,3.2605823762714863,8.225119590759277,0,q_proj,15.309548397858938,23.418460845947266
set2_stage3_r8_retrieval_random,Qwen/Qwen2.5-0.5B-Instruct,8,16,0,retrieval_practice,4000,48,15.55808262831578,1.9911073756714661,4.416254997253418,0,q_proj,5.467951570947965,7.033869743347168
set2_stage3_r8_retrieval_seed1_held,Qwen/Qwen2.5-0.5B-Instruct,8,16,1,retrieval_practice,4000,48,15.824320651021104,2.015428045143684,4.716762065887451,0,q_proj,5.366255258520444,7.0998005867004395
set2_stage3_r8_retrieval_seed2,Qwen/Qwen2.5-0.5B-Instruct,8,16,2,retrieval_practice,4000,48,15.909390628278311,2.020404583464066,4.952518463134766,0,q_proj,5.342840522527695,7.07904577255249
set2_stage3_r8_standard_mastered,Qwen/Qwen2.5-0.5B-Instruct,8,16,0,standard_ft_mastered,4000,48,16.336207884114675,2.0723131274183593,5.20111083984375,0,q_proj,5.49352512260278,7.121786594390869
set2_stage3_r8_standard_random,Qwen/Qwen2.5-0.5B-Instruct,8,16,0,standard_ft,4000,48,16.350547935425283,2.0784337036311626,5.027830123901367,0,q_proj,5.444151868422826,7.274125576019287
set2_stage3_r8_standard_seed1_held,Qwen/Qwen2.5-0.5B-Instruct,8,16,1,standard_ft,4000,48,16.4476840617568,2.085827559232712,5.147732734680176,0,q_proj,5.406688307722409,7.599158763885498
set2_stage3_r8_standard_seed2,Qwen/Qwen2.5-0.5B-Instruct,8,16,2,standard_ft,4000,48,16.348045921479812,2.0841289224723973,4.7726263999938965,0,q_proj,5.341475188732147,7.085773944854736
set1_quartile_1_easy_retrievalpractice,Qwen/Qwen2.5-0.5B-Instruct,16,32,0,retrieval_practice,4000,48,17.70109044205796,2.243207708001137,5.206414699554443,0,q_proj,8.876820941766104,13.80904483795166
set1_quartile_1_easy_standardft,Qwen/Qwen2.5-0.5B-Instruct,16,32,0,standard_ft,4000,48,18.70322921588177,2.3627797129253545,5.163628101348877,23,q_proj,8.390877276659012,12.792793273925781
set1_quartile_2_retrievalpractice,Qwen/Qwen2.5-0.5B-Instruct,16,32,0,retrieval_practice,4000,48,19.347024290874174,2.4489351361989975,6.309571743011475,0,q_proj,9.241842721899351,13.581575393676758
set1_quartile_2_standardft,Qwen/Qwen2.5-0.5B-Instruct,16,32,0,standard_ft,4000,48,19.55557099056892,2.491613645106554,5.663525581359863,0,q_proj,9.316042145093283,13.913329124450684
set1_quartile_3_retrievalpractice,Qwen/Qwen2.5-0.5B-Instruct,16,32,0,retrieval_practice,4000,48,20.200878905384467,2.5462786791225276,7.02849817276001,0,q_proj,9.290381640195847,13.543083190917969
set1_quartile_3_standardft,Qwen/Qwen2.5-0.5B-Instruct,16,32,0,standard_ft,4000,48,20.420249770299115,2.5930844359099865,6.1590189933776855,0,q_proj,9.340009093284607,13.098458290100098
set1_quartile_4_hard_retrievalpractice,Qwen/Qwen2.5-0.5B-Instruct,16,32,0,retrieval_practice,4000,48,20.216317943374822,2.562896524866422,6.249689102172852,0,q_proj,8.266606648763021,12.52276611328125
set1_quartile_4_hard_standardft,Qwen/Qwen2.5-0.5B-Instruct,16,32,0,standard_ft,4000,48,20.754639501336882,2.6316065353651843,6.586423397064209,0,q_proj,8.272478317221006,12.217496871948242
